player_name,height_wo_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,year,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,war_total,position_C,position_C-PF,position_PF,position_PF-C,position_PF-SF,position_PG,position_PG-SG,position_SF,position_SF-PF,position_SF-SG,position_SG,position_SG-PG,position_SG-SF
Jared Cunningham,75.5,187.6,78.5,98.0,3.6,8.25,9.0,,,,,4.0,32,47.7,88.2,22.0,53.9,59.79,5.2,8.0,11.4,34.9,62,83,0.747,58,106,0.547,7,21,0.33299999999999996,0.6,4.4,65.4,1,0.587754,93.3758,5.4,2010,0.38663707,24.0,96.046,93.1368,2.2108,115.009,0.76856,-2.10606,2.87462,-0.720688,19.0938,-3.29359,2.5729,0.7812,1.2188,2.0,0.9062,1.3438,0.0938,6.2188,-0.05492861400000001,0,0,0,0,0,0,0,0,0,0,0,1,0
Anthony Davis,81.25,221.8,89.5,108.0,7.9,9.0,8.5,,,,,,40,80.1,133.8,19.1,62.8,65.41,11.6,23.9,7.5,10.0,144,203,0.7090000000000001,207,317,0.653,3,20,0.15,13.7,2.5,60.2,1,6.07485,139.015,2.4,2012,1.21951222,1.0,79.63,75.7599,5.62176,360.57199999999995,17.668,7.5496300000000005,10.1184,16.6573,32.025,9.09614,7.56117,2.975,7.4,10.375,1.25,1.35,4.65,14.175,10.205755038625,0,0,0,1,0,0,0,0,0,0,0,0,0
Andre Drummond,81.75,278.6,90.25,109.5,7.5,9.5,9.5,31.5,33.5,10.83,3.39,10.0,34,70.3,100.7,20.8,53.8,50.93,14.2,15.5,3.4,16.0,26,88,0.295,157,290,0.541,0,2,0.0,9.9,1.8,30.1,1,2.1669099999999997,106.54700000000001,3.1,2012,0.28847914,9.0,95.5401,90.5331,3.4961,200.00599999999997,5.56709,0.789686,4.7774,4.32984,28.4412,1.78075,2.5491,3.3529,4.2059,7.5588,0.4412,0.8235,2.7059,10.0,3.9276749633749994,1,0,0,0,0,0,0,0,0,0,0,0,0
Festus Ezeli,81.75,264.2,89.75,108.0,5.5,9.0,10.75,34.0,33.5,12.35,3.29,18.0,29,29.0,81.0,20.8,54.7,54.39,9.7,13.8,0.6,33.6,28,55,0.509,41,75,0.547,0,0,0.0,6.4,0.7,73.3,2,-0.0142619,83.9349,6.5,2009,0.02326679,30.0,96.4762,94.4748,1.3656700000000002,68.5306,-4.5680000000000005,-5.6296800000000005,1.06168,-4.6036,12.3793,-5.72971,1.12611,0.9655,1.5862,2.5517,0.0345,0.1379,0.7586,3.7931,0.7143066924999999,0,1,0,0,0,0,0,0,0,0,0,0,0
Drew Gordon,80.0,239.0,83.5,103.5,9.1,8.5,9.75,29.0,34.0,11.35,3.49,10.0,34,26.3,105.9,19.2,56.5,55.91,15.7,24.5,3.5,20.5,18,36,0.5,52,92,0.565,0,0,0.0,4.5,3.0,39.1,1,0.952256,109.57700000000001,6.1,2009,0.29168437,,90.3107,85.2391,1.54361,85.8783,4.5988,1.5021200000000001,3.09668,1.48765,10.8824,-0.08244810000000001,1.57009,1.3235,2.0882,3.4118,0.2059,0.5294,0.4412,3.5882,-0.326572087,0,0,1,0,0,0,0,0,0,0,0,0,0
JaMychal Green,80.0,217.4,86.25,106.5,9.8,9.25,9.25,29.5,32.5,10.63,3.38,19.0,30,60.2,106.8,22.5,53.7,57.51,15.8,17.2,6.0,22.3,73,103,0.7090000000000001,117,218,0.537,0,0,0.0,6.7,1.9,47.2,1,2.3896900000000003,112.844,5.2,2009,0.32307196,,95.8519,92.4721,2.82602,165.59,5.4674,1.98737,3.48003,3.2966300000000004,24.4,1.81856,1.47807,3.5,4.1667,7.6667,0.7,0.8,1.6333,10.2333,0.8458140144285714,0,0,1,0,0,0,0,0,0,0,0,0,0
Draymond Green,77.75,235.6,85.25,105.0,11.3,9.0,9.5,28.0,33.0,11.01,3.4,9.0,37,27.6,111.5,16.4,55.6,57.71,10.8,23.1,14.1,20.6,32,52,0.615,45,80,0.563,0,1,0.0,2.5,3.0,64.2,1,1.09304,112.083,6.3,2009,1.29170529,35.0,89.2147,83.4226,1.6835799999999999,98.4134,9.28284,3.35587,5.92697,7.27262,11.3243,2.07954,5.19308,1.0541,2.2432,3.2973,0.8378,0.5676,0.2432,3.2973,12.093091832374999,0,0,0,0,1,0,0,0,0,0,0,0,0
John Henson,81.0,216.0,89.0,112.0,8.6,9.25,10.0,25.5,30.0,,,5.0,37,39.4,95.7,20.5,49.7,49.15,10.7,17.8,10.9,20.4,32,73,0.43799999999999994,84,163,0.515,4,18,0.222,9.4,2.5,40.3,1,0.9277479999999999,101.471,2.7,2010,0.75555009,14.0,92.0505,86.8228,2.16987,149.79,7.42647,0.405596,7.0208699999999995,7.1852,15.8649,2.36556,4.81963,1.6216,2.8108,4.4324,0.9189,0.7297,1.5676,5.7297,0.6800533297142858,0,0,1,0,0,0,0,0,0,0,0,0,0
Robbie Hummel,79.25,218.0,80.5,102.0,9.4,8.5,9.5,27.5,30.0,11.56,3.41,13.0,27,58.1,123.3,23.4,52.9,59.75,6.3,20.5,15.2,8.7,110,122,0.902,92,178,0.517,43,118,0.364,3.6,2.1,41.2,3,5.1542900000000005,133.593,2.8,2010,2.00009656,58.0,88.1727,83.6613,4.49855,178.64700000000002,11.9577,6.96378,4.99392,12.7595,30.2593,8.71893,4.04056,1.6296,5.2963,6.9259,2.0741,1.0741,1.037,15.6667,0.6179130075,0,0,0,0,0,0,0,1,0,0,0,0,0
Bernard James,80.75,229.8,87.0,108.5,5.0,9.0,9.25,30.0,32.5,11.84,3.4,6.0,34,52.7,108.1,19.4,65.7,62.72,11.8,18.4,2.5,20.5,59,117,0.504,117,178,0.657,0,0,0.0,13.5,2.3,65.7,3,1.91989,111.18700000000001,3.1,2011,0.16000272,33.0,83.2547,79.6337,3.45769,182.43900000000002,9.00623,0.273267,8.73297,8.98139,21.1471,3.36542,5.61597,2.1765,3.7353,5.9118,0.2353,0.8529,2.4118,8.6176,0.07803333400000001,0,0,1,0,0,0,0,0,0,0,0,0,0
