player_name,war_total
Brandon Ingram,4.298189329
Dorian Finney-Smith,4.294656271
Marcus Smart,4.289168711
Lou Williams,4.286623379
Kelly Olynyk,4.271088871
Terrence Ross,4.269374323
Isaiah Thomas,4.265628418
Ivica Zubac,4.261327174
Amir Johnson,4.251068753
Andre Iguodala,4.243051094
Mario Chalmers,4.240983635
Buddy Hield,4.239852728
Aaron Gordon,4.228521971
Bogdan Bogdanovic,4.228101939
Andre Iguodala,4.223695366
Nicolas Batum,4.220006825
Danilo Gallinari,4.211029613
Wilson Chandler,4.181926712
Patrick Patterson,4.180719348
Goran Dragic,4.178566724
Harrison Barnes,4.177446722
Paul Pierce,4.167220166
Domantas Sabonis,4.165563647
Tony Allen,4.148433717
CJ Miles,4.139648852
Dejounte Murray,4.137507093
Ish Smith,4.136540194
Danny Green,4.118509627
Luol Deng,4.110450554
Mitchell Robinson,4.109734865
Andre Roberson,4.100576426
Nikola Mirotic,4.100167151
Amir Johnson,4.096170543
Kentavious Caldwell-Pope,4.092962773
Jrue Holiday,4.092000869
Lance Stephenson,4.090422723
Tim Hardaway Jr.,4.087242784
Lonzo Ball,4.085533987
Anthony Tolliver,4.077610129
Bismack Biyombo,4.0772905
Kevon Looney,4.076902248
Dillon Brooks,4.072346014
Jonas Jerebko,4.053840925
Davis Bertans,4.051534686
Kelly Olynyk,4.047888951
George Hill,4.039628438
Kris Humphries,4.038564919
Tobias Harris,4.037680748
Darren Collison,4.035394771
Zach Randolph,4.029381952
Al Horford,4.028849798
Jae Crowder,4.026103711
Ed Davis,4.021977666
Spencer Dinwiddie,4.016695672
Terrence Ross,4.016351756
Daniel Theis,4.016315327
DeMarre Carroll,4.013975173
Jeremy Lin,4.012350409
Tiago Splitter,4.005873076
Derrick White,4.002558968
Nicolas Batum,3.99955652
Eric Bledsoe,3.997104898
Thaddeus Young,3.995038925
George Hill,3.991390707
Taj Gibson,3.983846184
Spencer Dinwiddie,3.983275302
Dwyane Wade,3.982435319
Buddy Hield,3.951639958
Jakob Poeltl,3.945253873
Robert Covington,3.936566831
Wesley Matthews,3.932534074
Dwight Powell,3.91373133
Jonas Valanciunas,3.913287669
Patty Mills,3.889002187
Blake Griffin,3.883278617
Michael Kidd-Gilchrist,3.882402812
Maurice Harkless,3.878908455
Derrick Favors,3.865372061
Devin Booker,3.865201213
Thabo Sefolosha,3.861114529
Marc Gasol,3.86072768
Myles Turner,3.853442819
Gary Harris,3.848939942
Jeremy Lamb,3.848479811
Yogi Ferrell,3.844344256
Clint Capela,3.843457557
Greg Monroe,3.834930711
Bojan Bogdanovic,3.833364413
Andre Drummond,3.831640022
Victor Oladipo,3.830314588
Dennis Schroder,3.830203463
Alan Anderson,3.827922237
OG Anunoby,3.82152641
Eric Bledsoe,3.820122751
Dwyane Wade,3.805989388
Jared Sullinger,3.805602839
Al-Farouq Aminu,3.802896234
Michael Kidd-Gilchrist,3.802566789
Luguentz Dort,3.795246138
Rudy Gay,3.794905793
Channing Frye,3.791166936
Matthew Dellavedova,3.79037166
Jae Crowder,3.78576218
PJ Tucker,3.783909538
Hassan Whiteside,3.779438948
Steven Adams,3.775858111
Taj Gibson,3.774274081
Kentavious Caldwell-Pope,3.772833131
Markieff Morris,3.771742516
Robert Covington,3.771161394
Derrick Jones Jr.,3.761854634
Ray Allen,3.750178903
Jeff Teague,3.744245654
